zone,vendor_id,vendor_id_plot,quantity,share_pct
,UNKNOWN_FAMILY,UNKNOWN_FAMILY,0.0,0.0
A,ACC,ACC,41285.0,22.75570890771495
A,S2E,S2E,35930.0,19.804108539522783
A,ESS,ESS,24095.0,13.280823692173712
A,CRD,CRD,17255.0,9.510712297508089
A,AVE,AVE,13089.0,7.214471936371103
A,S2B,S2B,9324.0,5.139257111675771
A,QUA,QUA,4829.0,2.6616765971988734
A,AMP,AMP,4769.0,2.628605444614087
A,FEL,FEL,4380.0,2.4141941386893904
A,RED,RED,3617.0,1.9936393149861928
A,DBL,DBL,3223.0,1.7764720796794302
A,PAC,PAC,2789.0,1.5372574093161437
A,ELD,ELD,2533.0,1.3961538249543892
A,SAM,SAM,1950.0,1.0748124590055503
A,RIV,RIV,1611.0,0.8879604469015087
A,WEV,WEV,1566.0,0.8631570824629189
A,TOP,TOP,1410.0,0.777172085742475
A,ROA,ROA,1322.0,0.7286677286181219
A,BSP,BSP,901.0,0.49661847464820563
A,MEA,MEA,789.0,0.43488565648993804
A,RDC,RDC,754.0,0.4155941508154795
A,UMI,UMI,700.0,0.38583011348917196
A,KLF,KLF,545.0,0.300396302645141
A,BIM,BIM,473.0,0.2607109195433976
A,KTK,KTK,280.0,0.15433204539566878
A,RAM,RAM,225.0,0.12401682219294813
A,TCO,TCO,203.0,0.11189073291185986
A,BND,BND,196.0,0.10803243177696815
A,SAF,SAF,143.0,0.0788195803270737
A,MMF,MMF,134.0,0.07385890743935578
A,AAG,AAG,117.0,0.06448874754033303
A,RAN,RAN,114.0,0.06283518991109371
A,ROG,ROG,103.0,0.05677214527054959
A,A2E,A2E,91.0,0.05015791475359235
A,GEN,GEN,91.0,0.05015791475359235
A,WAU,WAU,82.0,0.045197241865874434
A,AVT,AVT,63.0,0.03472471021402548
A,KCS,KCS,53.0,0.02921285144989445
A,MAS,MAS,46.0,0.02535455031500273
A,MMM,MMM,28.0,0.015433204539566878
A,RUC,RUC,27.0,0.014882018663153775
A,CBI,CBI,25.0,0.013779646910327572
A,OKI,OKI,25.0,0.013779646910327572
A,ACP,ACP,24.0,0.013228461033914465
A,DOT,DOT,21.0,0.011574903404675159
A,GRB,GRB,21.0,0.011574903404675159
A,SYO,SYO,19.0,0.010472531651848953
A,CLI,CLI,18.0,0.00992134577543585
A,FIA,FIA,13.0,0.007165416393370336
A,GBC,GBC,13.0,0.007165416393370336
A,SID,SID,13.0,0.007165416393370336
A,DEF,DEF,12.0,0.006614230516957233
A,BDT,BDT,11.0,0.006063044640544131
A,OLY,OLY,11.0,0.006063044640544131
A,XER,XER,11.0,0.006063044640544131
A,MCN,MCN,8.0,0.004409487011304823
A,VCT,VCT,8.0,0.004409487011304823
A,IDE,IDE,7.0,0.0038583011348917195
A,LTH,LTH,6.0,0.0033071152584786163
A,PMC,PMC,5.0,0.0027559293820655136
A,ARS,ARS,3.0,0.0016535576292393082
A,MCG,MCG,3.0,0.0016535576292393082
A,MFE,MFE,3.0,0.0016535576292393082
A,NEC,NEC,3.0,0.0016535576292393082
A,SOU,SOU,3.0,0.0016535576292393082
A,VER,VER,3.0,0.0016535576292393082
A,X3R,X3R,3.0,0.0016535576292393082
A,AAI,AAI,0.0,0.0
A,E3D,E3D,0.0,0.0
A,SPR,SPR,0.0,0.0
B,SAN,SAN,260633.0,31.5385118030581
B,RDC,RDC,72856.0,8.81611237227673
B,MMM,MMM,56755.0,6.867772835299299
B,AVE,AVE,48841.0,5.910120571735584
B,PIL,PIL,30713.0,3.7164991118059625
B,ACC,ACC,30418.0,3.680801939990029
B,PEN,PEN,25888.0,3.1326385897317994
B,BIC,BIC,25638.0,3.102386749209822
B,ESS,ESS,14933.0,1.8070029380587513
B,TOP,TOP,14284.0,1.7284691600636983
B,BAU,BAU,13060.0,1.580356148868097
B,ACM,ACM,10789.0,1.3055484295664548
B,AVT,AVT,10236.0,1.238631358331841
B,ZPC,ZPC,9579.0,1.1591295214400843
B,ANG,ANG,9212.0,1.1147198195538217
B,OIC,OIC,7753.0,0.9381700782675618
B,S2E,S2E,7649.0,0.9255853126104193
B,H2W,H2W,7539.0,0.9122745027807492
B,RAM,RAM,6965.0,0.8428162769422891
B,S2A,S2A,6919.0,0.8372499382862454
B,BIN,BIN,6764.0,0.8184937971626194
B,BOS,BOS,6437.0,0.778924389759873
B,DIX,DIX,6285.0,0.7605312707225108
B,RTG,RTG,5377.0,0.650656585946689
B,ALL,ALL,5070.0,0.6135073257857008
B,AMP,AMP,4870.0,0.5893058533681189
B,BRT,BRT,4578.0,0.5539717036384494
B,FSK,FSK,3932.0,0.47580094772965986
B,TOM,TOM,3876.0,0.4690245354527369
B,ROG,ROG,3867.0,0.46793546919394574
B,BOR,BOR,3583.0,0.4335693783609795
B,LEP,LEP,3425.0,0.4144502151510898
B,CPM,CPM,3356.0,0.406100707167024
B,G2C,G2C,3140.0,0.37996311695603563
B,CHA,CHA,3119.0,0.3774219623521895
B,STD,STD,2985.0,0.3612069758324096
B,MMF,MMF,2955.0,0.35757675496977237
B,MAX,MAX,2883.0,0.3488642248994429
B,PMC,PMC,2846.0,0.3443869525021902
B,QUA,QUA,2702.0,0.3269618923615313
B,EPS,EPS,2566.0,0.3105048911175756
B,NUK,NUK,2550.0,0.30856877332416904
B,OPS,OPS,2516.0,0.3044545230131801
B,BIM,BIM,2376.0,0.2875134923208728
B,LEE,LEE,2217.0,0.2682733217488952
B,RED,RED,2116.0,0.2560515781780163
B,HUN,HUN,2049.0,0.24794408491812642
B,GBC,GBC,1909.0,0.23100305422581907
B,LEX,LEX,1704.0,0.20619654499779766
B,SOF,SOF,1642.0,0.1986940885483473
B,WTB,WTB,1622.0,0.19627394130658907
B,ELD,ELD,1615.0,0.19542688977197376
B,TEI,TEI,1604.0,0.19409580878900673
B,NUD,NUD,1557.0,0.18840846277087497
B,FEL,FEL,1543.0,0.18671435970164424
B,CRD,CRD,1505.0,0.1821160799423037
B,DUC,DUC,1323.0,0.16009274004230417
B,TAB,TAB,1321.0,0.15985072531812836
B,MEA,MEA,1320.0,0.15972971795604043
B,COX,COX,1289.0,0.15597848973131523
B,CLI,CLI,1287.0,0.15573647500713944
B,CPA,CPA,1256.0,0.15198524678241424
B,VER,VER,1229.0,0.1487180480060407
B,S2B,S2B,1209.0,0.1462979007642825
B,INU,INU,1159.0,0.14024753265988704
B,IMN,IMN,1154.0,0.1396424958494475
B,DOM,DOM,1072.0,0.1297198921582389
B,FAL,FAL,1035.0,0.12524261976098625
B,LEO,LEO,1028.0,0.1243955682263709
B,CRO,CRO,1024.0,0.12391153877801926
B,MFE,MFE,1020.0,0.12342750932966762
B,SUG,SUG,1007.0,0.12185441362252479
B,GEO,GEO,975.0,0.1179821780357117
B,OKI,OKI,916.0,0.11084274367252503
B,ITY,ITY,869.0,0.1051553976543933
B,VEK,VEK,819.0,0.09910502954999782
B,SHR,SHR,817.0,0.09886301482582201
B,A2G,A2G,811.0,0.09813697065329453
B,BIG,BIG,803.0,0.09716891175659127
B,WAU,WAU,786.0,0.09511178660109681
B,PAC,PAC,777.0,0.09402272034230563
B,CNM,CNM,660.0,0.07986485897802022
B,SOY,SOY,527.0,0.06377087982032827
B,UTC,UTC,518.0,0.06268181356153708
B,LIL,LIL,487.0,0.05893058533681189
B,HOU,HOU,465.0,0.05626842337087788
B,SPZ,SPZ,458.0,0.055421371836262515
B,FBC,FBC,442.0,0.05348525404285597
B,MOK,MOK,429.0,0.051912158335713145
B,WIM,WIM,424.0,0.0513071215252736
B,ASG,ASG,422.0,0.05106510680109778
B,SAU,SAU,422.0,0.05106510680109778
B,NYR,NYR,417.0,0.05046006999065823
B,CMC,CMC,383.0,0.04634581967966931
B,XER,XER,383.0,0.04634581967966931
B,VCT,VCT,349.0,0.04223156936868039
B,PAL,PAL,328.0,0.03969041476483429
B,BSP,BSP,323.0,0.03908537795439474
B,AUT,AUT,322.0,0.03896437059230684
B,TEX,TEX,320.0,0.03872235586813102
B,SLT,SLT,319.0,0.03860134850604311
B,X3R,X3R,316.0,0.038238326419779374
B,DEF,DEF,301.0,0.03642321598846074
B,SMC,SMC,290.0,0.035092135005493734
B,AGP,AGP,284.0,0.034366090832966274
B,MNB,MNB,272.0,0.03291400248791136
B,IDK,IDK,233.0,0.028194715366482895
B,WDF,WDF,231.0,0.02795270064230708
B,CSO,CSO,224.0,0.027105649107691712
B,NCG,NCG,218.0,0.026379604935164256
B,PTI,PTI,211.0,0.02553255340054889
B,JOJ,JOJ,203.0,0.024564494503845614
B,MAS,MAS,201.0,0.024322479779669795
B,AOP,AOP,199.0,0.024080465055493976
B,AAG,AAG,195.0,0.02359643560714234
B,DWI,DWI,187.0,0.022628376710439064
B,AKM,AKM,169.0,0.020450244192856695
B,MXB,MXB,168.0,0.020329236830768784
B,KOK,KOK,166.0,0.020087222106592965
B,PFI,PFI,165.0,0.019966214744505054
B,J2J,J2J,164.0,0.019845207382417147
B,TCO,TCO,159.0,0.019240170571977598
B,KLF,KLF,152.0,0.018393119037362234
B,SBK,SBK,147.0,0.017788082226922686
B,PEL,PEL,146.0,0.017667074864834778
B,TXC,TXC,143.0,0.017304052778571048
B,TLH,TLH,138.0,0.016699015968131503
B,BAL,BAL,136.0,0.01645700124395568
B,PHC,PHC,131.0,0.015851964433516136
B,RIV,RIV,129.0,0.015609949709340315
B,CVC,CVC,122.0,0.014762898174724952
B,TXD,TXD,115.0,0.013915846640109584
B,UNG,UNG,108.0,0.013068795105494217
B,CDB,CDB,104.0,0.012584765657142581
B,GEP,GEP,94.0,0.011374692036263486
B,FIA,FIA,93.0,0.011253684674175576
B,SAH,SAH,93.0,0.011253684674175576
B,WEV,WEV,91.0,0.011011669949999758
B,LIO,LIO,90.0,0.010890662587911848
B,UNS,UNS,89.0,0.010769655225823939
B,IBI,IBI,85.0,0.010285625777472301
B,SAM,SAM,85.0,0.010285625777472301
B,AAE,AAE,76.0,0.009196559518681117
B,WLY,WLY,70.0,0.008470515346153661
B,SMN,SMN,62.0,0.007502456449450384
B,SPR,SPR,53.0,0.0064133901906592
B,VUR,VUR,52.0,0.006292382828571291
B,SOU,SOU,51.0,0.006171375466483381
B,TBL,TBL,48.0,0.005808353380219652
B,WBI,WBI,48.0,0.005808353380219652
B,PLN,PLN,46.0,0.0055663386560438335
B,SAF,SAF,44.0,0.005324323931868015
B,N2K,N2K,42.0,0.005082309207692196
B,PCE,PCE,39.0,0.004719287121428468
B,PUR,PUR,39.0,0.004719287121428468
B,KCS,KCS,38.0,0.004598279759340559
B,FWH,FWH,35.0,0.0042352576730768305
B,COS,COS,30.0,0.0036302208626372828
B,CCP,CCP,28.0,0.003388206138461464
B,PRE,PRE,27.0,0.0032671987763735542
B,HRZ,HRZ,26.0,0.0031461914142856453
B,NYB,NYB,25.0,0.0030251840521977355
B,DTM,DTM,23.0,0.0027831693280219168
B,NPT,NPT,21.0,0.002541154603846098
B,LTH,LTH,16.0,0.001936117793406551
B,AAI,AAI,13.0,0.0015730957071428226
B,ACP,ACP,11.0,0.0013310809829670037
B,VII,VII,11.0,0.0013310809829670037
B,H3W,H3W,10.0,0.0012100736208790943
B,I2C,I2C,10.0,0.0012100736208790943
B,ILC,ILC,10.0,0.0012100736208790943
B,EGP,EGP,8.0,0.0009680588967032755
B,SON,SON,8.0,0.0009680588967032755
B,UMI,UMI,7.0,0.000847051534615366
B,SEB,SEB,4.0,0.00048402944835163774
B,BHC,BHC,3.0,0.00036302208626372827
B,BDY,BDY,2.0,0.00024201472417581887
B,CAT,CAT,2.0,0.00024201472417581887
B,KTK,KTK,2.0,0.00024201472417581887
B,S2F,S2F,2.0,0.00024201472417581887
B,G2P,G2P,1.0,0.00012100736208790944
B,TRH,TRH,1.0,0.00012100736208790944
B,A2E,A2E,0.0,0.0
B,BON,BON,0.0,0.0
B,BUL,BUL,0.0,0.0
B,EWP,EWP,0.0,0.0
B,GIL,GIL,0.0,0.0
B,GOJ,GOJ,0.0,0.0
B,HEW,HEW,0.0,0.0
B,MAT,MAT,0.0,0.0
B,MCG,MCG,0.0,0.0
B,PAT,PAT,0.0,0.0
B,RAY,RAY,0.0,0.0
B,S2N,S2N,0.0,0.0
B,TXT,TXT,0.0,0.0
B,UNKNOWN_FAMILY,UNKNOWN_FAMILY,0.0,0.0
C,AVE,AVE,46272.0,16.576925143747648
C,RDC,RDC,38161.0,13.67116269905243
C,MMM,MMM,16040.0,5.746323463557061
C,GUS,GUS,11704.0,4.1929532305157
C,G2C,G2C,10919.0,3.911727300410196
C,GBC,GBC,7687.0,2.753864617478998
C,TOP,TOP,6786.0,2.431081734644527
C,ESS,ESS,5553.0,1.9893599871030145
C,ACC,ACC,5269.0,1.8876171028355455
C,RED,RED,3998.0,1.432281870779372
C,S2E,S2E,3877.0,1.3889336700879502
C,AVT,AVT,3801.0,1.3617067010586275
C,NUK,NUK,3625.0,1.298654772780196
C,QUA,QUA,3613.0,1.294355777670303
C,CLI,CLI,3588.0,1.2853995378580256
C,LIO,LIO,3436.0,1.2309455997993803
C,A2G,A2G,3143.0,1.1259784691994912
C,NUD,NUD,3111.0,1.1145144822397763
C,PMC,PMC,2911.0,1.0428645637415588
C,EPS,EPS,2835.0,1.015637594712236
C,S2B,S2B,2829.0,1.0134880971572895
C,OIC,OIC,2761.0,0.9891271248678954
C,VER,VER,2494.0,0.8934744836727747
C,H2W,H2W,2419.0,0.8666057642359433
C,FSK,FSK,2375.0,0.8508427821663352
C,MMF,MMF,2277.0,0.8157343221022085
C,WAU,WAU,2166.0,0.7759686173356978
C,BRT,BRT,2048.0,0.7336951654217493
C,GEO,GEO,1981.0,0.7096924427248464
C,ROG,ROG,1956.0,0.7007362029125692
C,SAU,SAU,1838.0,0.6584627509986207
C,PAC,PAC,1784.0,0.6391172730041019
C,SOY,SOY,1772.0,0.6348182778942089
C,CRD,CRD,1676.0,0.6004263170150643
C,FEL,FEL,1652.0,0.5918283267952783
C,DEF,DEF,1597.0,0.5721245992082684
C,LEO,LEO,1592.0,0.570333351245813
C,AAG,AAG,1559.0,0.558511114693607
C,MEA,MEA,1531.0,0.5484801261038565
C,N2K,N2K,1475.0,0.5284181489243556
C,SOU,SOU,1302.0,0.4664409694233973
C,DTM,DTM,1279.0,0.4582012287961022
C,HRZ,HRZ,1274.0,0.4564099808336468
C,IMN,IMN,1208.0,0.43276550772923494
C,SLT,SLT,1143.0,0.40947928421731417
C,MAX,MAX,1106.0,0.3962240492951439
C,HUN,HUN,1093.0,0.3915668045927597
C,ELD,ELD,1038.0,0.37186307700574994
C,LEX,LEX,994.0,0.35610009493614203
C,SPZ,SPZ,951.0,0.3406953624590252
C,TAB,TAB,933.0,0.3342468697941856
C,OKI,OKI,888.0,0.3181256381320866
C,LEE,LEE,881.0,0.31561789098464904
C,ACM,ACM,847.0,0.30343740483995196
C,MAS,MAS,823.0,0.2948394146201659
C,CPA,CPA,815.0,0.2919734178802372
C,JOJ,JOJ,798.0,0.28588317480788866
C,BSP,BSP,796.0,0.2851666756229065
C,RAM,RAM,784.0,0.2808676805130134
C,DUC,DUC,771.0,0.27621043581062926
C,CPM,CPM,758.0,0.2715531911082451
C,HHP,HHP,745.0,0.26689594640586095
C,BOR,BOR,727.0,0.2604474537410214
C,ADC,ADC,725.0,0.2597309545560392
C,CPB,CPB,725.0,0.2597309545560392
C,MAV,MAV,707.0,0.2532824618911996
C,CKC,CKC,691.0,0.24755046841134215
C,DAX,DAX,688.0,0.24647571963386894
C,RTG,RTG,637.0,0.2282049904168234
C,MNB,MNB,633.0,0.22677199204685902
C,TEI,TEI,633.0,0.22677199204685902
C,RIV,RIV,605.0,0.2167410034571086
C,MLK,MLK,590.0,0.21136725956974223
C,SAH,SAH,583.0,0.20885951242230463
C,AMP,AMP,579.0,0.20742651405234028
C,BIN,BIN,578.0,0.20706826445984916
C,CAF,CAF,532.0,0.1905887832052591
C,MNK,MNK,507.0,0.18163254339298188
C,UTC,UTC,503.0,0.18019954502301755
C,TBL,TBL,487.0,0.17446755154316013
C,CPL,CPL,483.0,0.17303455317319577
C,M2M,M2M,479.0,0.17160155480323142
C,WLG,WLG,467.0,0.16730255969333835
C,AOP,AOP,444.0,0.1590628190660433
C,VCT,VCT,436.0,0.1561968223261146
C,SAN,SAN,428.0,0.1533308255861859
C,TRP,TRP,427.0,0.1529725759936948
C,MCN,MCN,423.0,0.15153957762373046
C,MXB,MXB,423.0,0.15153957762373046
C,AKM,AKM,419.0,0.15010657925376608
C,ALL,ALL,407.0,0.14580758414387304
C,CSO,CSO,407.0,0.14580758414387304
C,INU,INU,386.0,0.13828434270156018
C,POA,POA,372.0,0.13326884840668493
C,COX,COX,371.0,0.13291059881419384
C,K2D,K2D,367.0,0.1314776004442295
C,FST,FST,354.0,0.12682035574184536
C,X3R,X3R,350.0,0.12538735737188098
C,BMT,BMT,342.0,0.12252136063195228
C,PLN,PLN,321.0,0.11499811918963943
C,GCM,GCM,302.0,0.10819137693230874
C,UMI,UMI,302.0,0.10819137693230874
C,SHR,SHR,298.0,0.1067583785623444
C,TEX,TEX,267.0,0.09565264119512064
C,TCO,TCO,265.0,0.09493614201013846
C,PAL,PAL,264.0,0.09457789241764737
C,NPT,NPT,251.0,0.08992064771526323
C,CNM,CNM,248.0,0.08884589893778995
C,CHA,CHA,244.0,0.08741290056782561
C,MFE,MFE,238.0,0.08526340301287907
C,BOS,BOS,234.0,0.08383040464291472
C,MAT,MAT,225.0,0.08060615831049493
C,XER,XER,224.0,0.08024790871800383
C,SAM,SAM,223.0,0.07988965912551274
C,BIG,BIG,217.0,0.07774016157056622
C,DRB,DRB,208.0,0.07451591523814641
C,MCG,MCG,206.0,0.07379941605316424
C,MHI,MHI,206.0,0.07379941605316424
C,SPR,SPR,204.0,0.07308291686818205
C,GEL,GEL,197.0,0.07057516972074444
C,SIL,SIL,194.0,0.06950042094327118
C,E2E,E2E,190.0,0.06806742257330682
C,VII,VII,188.0,0.06735092338832464
C,JAV,JAV,177.0,0.06341017787092268
C,IDE,IDE,176.0,0.06305192827843159
C,S2F,S2F,176.0,0.06305192827843159
C,ACP,ACP,174.0,0.062335429093449406
C,G4P,G4P,172.0,0.061618929908467235
C,KTK,KTK,170.0,0.06090243072348505
C,DUR,DUR,167.0,0.05982768194601178
C,LIS,LIS,167.0,0.05982768194601178
C,SMC,SMC,167.0,0.05982768194601178
C,NYR,NYR,166.0,0.059469432353520695
C,CUI,CUI,165.0,0.05911118276102961
C,CMC,CMC,164.0,0.058752933168538524
C,SBK,SBK,158.0,0.05660343561359199
C,RAY,RAY,156.0,0.05588693642860982
C,VUR,VUR,156.0,0.05588693642860982
C,ASG,ASG,155.0,0.055528686836118724
C,I2C,I2C,147.0,0.05266269009619001
C,IOM,IOM,146.0,0.052304440503698924
C,EGP,EGP,144.0,0.05158794131871675
C,PHC,PHC,144.0,0.05158794131871675
C,HVR,HVR,132.0,0.047288946208823686
C,IDC,IDC,131.0,0.0469306966163326
C,SUG,SUG,120.0,0.042989951098930626
C,BAL,BAL,119.0,0.04263170150643954
C,HOR,HOR,115.0,0.04119870313647518
C,LCC,LCC,115.0,0.04119870313647518
C,PFI,PFI,115.0,0.04119870313647518
C,DOT,DOT,113.0,0.040482203951493004
C,BEI,BEI,109.0,0.03904920558152865
C,FAL,FAL,108.0,0.03869095598903756
C,MEV,MEV,106.0,0.03797445680405538
C,TXD,TXD,104.0,0.037257957619073204
C,WIM,WIM,98.0,0.03510846006412668
C,LTH,LTH,91.0,0.032600712916689055
C,VEK,VEK,89.0,0.03188421373170688
C,MOK,MOK,88.0,0.031525964139215795
C,PRE,PRE,87.0,0.031167714546724703
C,CBI,CBI,86.0,0.030809464954233617
C,BAU,BAU,82.0,0.029376466584269262
C,CHE,CHE,81.0,0.029018216991778173
C,SYO,SYO,79.0,0.028301717806795995
C,CAO,CAO,78.0,0.02794346821430491
C,PCE,PCE,76.0,0.027226969029322732
C,CVR,CVR,73.0,0.026152220251849462
C,AAE,AAE,70.0,0.0250774714743762
C,TXC,TXC,69.0,0.02471922188188511
C,AAL,AAL,67.0,0.024002722696902932
C,COS,COS,67.0,0.024002722696902932
C,H3W,H3W,67.0,0.024002722696902932
C,BDY,BDY,65.0,0.023286223511920754
C,NSP,NSP,65.0,0.023286223511920754
C,PAT,PAT,59.0,0.021136725956974224
C,RAN,RAN,58.0,0.020778476364483135
C,EUK,EUK,53.0,0.01898722840202769
C,KOK,KOK,43.0,0.015404732477116809
C,DBL,DBL,42.0,0.01504648288462572
C,SAF,SAF,40.0,0.014329983699643542
C,CCP,CCP,35.0,0.0125387357371881
C,BDT,BDT,34.0,0.01218048614469701
C,SON,SON,34.0,0.01218048614469701
C,STK,STK,34.0,0.01218048614469701
C,GOL,GOL,33.0,0.011822236552205921
C,DGV,DGV,32.0,0.011463986959714833
C,J2J,J2J,32.0,0.011463986959714833
C,URI,URI,32.0,0.011463986959714833
C,KCS,KCS,31.0,0.011105737367223744
C,JCC,JCC,30.0,0.010747487774732657
C,ECF,ECF,29.0,0.010389238182241568
C,SID,SID,29.0,0.010389238182241568
C,VTE,VTE,26.0,0.009314489404768301
C,ROA,ROA,24.0,0.008597990219786125
C,WEV,WEV,24.0,0.008597990219786125
C,ZPC,ZPC,24.0,0.008597990219786125
C,GEN,GEN,22.0,0.007881491034803949
C,PSP,PSP,20.0,0.007164991849821771
C,STD,STD,19.0,0.006806742257330683
C,WLY,WLY,17.0,0.006090243072348505
C,APK,APK,16.0,0.005731993479857416
C,FWH,FWH,16.0,0.005731993479857416
C,NCG,NCG,15.0,0.005373743887366328
C,SMN,SMN,14.0,0.005015494294875239
C,ILC,ILC,13.0,0.0046572447023841505
C,SHW,SHW,13.0,0.0046572447023841505
C,GEW,GEW,12.0,0.004298995109893062
C,PTI,PTI,12.0,0.004298995109893062
C,PUR,PUR,12.0,0.004298995109893062
C,GPL,GPL,11.0,0.003940745517401974
C,GRB,GRB,9.0,0.003224246332419797
C,HLX,HLX,8.0,0.002865996739928708
C,LPL,LPL,8.0,0.002865996739928708
C,RBM,RBM,8.0,0.002865996739928708
C,BLK,BLK,7.0,0.0025077471474376197
C,NWC,NWC,7.0,0.0025077471474376197
C,LAK,LAK,6.0,0.002149497554946531
C,FUT,FUT,4.0,0.001432998369964354
C,HWL,HWL,3.0,0.0010747487774732656
C,ASD,ASD,2.0,0.000716499184982177
C,B2I,B2I,1.0,0.0003582495924910885
C,RUC,RUC,1.0,0.0003582495924910885
C,AAI,AAI,0.0,0.0
C,AOS,AOS,0.0,0.0
C,ARS,ARS,0.0,0.0
C,BFD,BFD,0.0,0.0
C,BIM,BIM,0.0,0.0
C,BON,BON,0.0,0.0
C,BRA,BRA,0.0,0.0
C,BUL,BUL,0.0,0.0
C,COK,COK,0.0,0.0
C,ECI,ECI,0.0,0.0
C,G2P,G2P,0.0,0.0
C,GIL,GIL,0.0,0.0
C,KNY,KNY,0.0,0.0
C,NEC,NEC,0.0,0.0
C,NYB,NYB,0.0,0.0
C,PIL,PIL,0.0,0.0
C,S3R,S3R,0.0,0.0
C,UKP,UKP,0.0,0.0
C,UNKNOWN_FAMILY,UNKNOWN_FAMILY,0.0,0.0
C,VIO,VIO,0.0,0.0
C,VRT,VRT,0.0,0.0
F,G2C,G2C,27024.0,16.107286544479212
F,SAN,SAN,18517.0,11.036805245119952
F,ACC,ACC,16563.0,9.87215020116227
F,RDC,RDC,13687.0,8.15794963492773
F,INU,INU,12485.0,7.441513932349873
F,SPZ,SPZ,7722.0,4.602592758158248
F,S2B,S2B,7478.0,4.457159886753092
F,S2E,S2E,7114.0,4.240202652361794
F,ESS,ESS,6236.0,3.7168827298465206
F,QUA,QUA,5879.0,3.5040977499627477
F,AVE,AVE,5057.0,3.014155863507674
F,PMC,PMC,3979.0,2.37162866934883
